frame_id,original_frame_number,timestamp_seconds,fps,sharpness_score,brightness_score,contrast_score,motion_score,similarity_score,selection_score,reason_for_selection
frame_000001,0,0.000,25.00,5798.45,0.9497,0.8493,1.0000,0.0000,0.9799,initial_video_anchor
frame_000002,5,0.200,25.00,5419.35,0.9884,0.8239,0.9706,0.8840,0.6645,significant_motion_and_scene_change
frame_000003,25,1.000,25.00,6102.68,0.9444,0.8404,0.6229,0.8831,0.5751,significant_motion_and_scene_change
frame_000004,40,1.600,25.00,5350.88,0.9051,0.8335,0.6727,0.8988,0.5775,significant_motion_and_scene_change
frame_000005,55,2.200,25.00,4841.45,0.9333,0.7886,1.0000,0.8511,0.6743,significant_motion_and_scene_change
frame_000006,65,2.600,25.00,4811.39,0.9751,0.7894,0.6342,0.8402,0.5909,significant_motion_and_scene_change
frame_000007,75,3.000,25.00,12806.72,0.7067,0.5773,1.0000,0.3105,0.8197,significant_motion_and_scene_change
frame_000008,90,3.600,25.00,19385.87,0.7713,0.7612,0.2189,0.8862,0.4478,significant_motion_and_scene_change
frame_000009,145,5.800,25.00,18768.17,0.7785,0.7796,0.0210,0.9853,0.3662,periodic_coverage_keepalive
frame_000010,175,7.000,25.00,15615.81,0.7308,0.9186,1.0000,0.5768,0.7631,significant_motion_and_scene_change
frame_000011,225,9.000,25.00,15852.33,0.7300,0.9193,0.0002,0.9957,0.3665,periodic_coverage_keepalive
frame_000012,255,10.200,25.00,8311.15,0.6474,0.7475,0.2633,0.8772,0.4483,significant_motion_and_scene_change
frame_000013,265,10.600,25.00,9025.81,0.8308,0.7374,1.0000,0.4356,0.8044,significant_motion_and_scene_change
frame_000014,315,12.600,25.00,10306.07,0.8438,0.7948,0.0005,0.9783,0.3716,periodic_coverage_keepalive
frame_000015,345,13.800,25.00,9288.29,0.8145,0.7879,1.0000,0.6615,0.7287,significant_motion_and_scene_change
frame_000016,395,15.800,25.00,9516.18,0.8146,0.7904,0.0034,0.9953,0.3630,periodic_coverage_keepalive
frame_000017,420,16.800,25.00,4769.69,0.9882,0.9185,1.0000,0.5610,0.7943,significant_motion_and_scene_change
frame_000018,470,18.800,25.00,6519.81,0.9945,0.9167,0.0001,0.9951,0.3929,periodic_coverage_keepalive
frame_000019,505,20.200,25.00,7973.67,0.9036,1.0000,1.0000,0.3733,0.8597,significant_motion_and_scene_change
frame_000020,555,22.200,25.00,16589.88,0.9605,1.0000,0.0002,0.9494,0.4138,periodic_coverage_keepalive
frame_000021,580,23.200,25.00,11147.91,0.9925,0.9869,0.0928,0.8523,0.4728,novel_scene_content
frame_000022,590,23.600,25.00,11105.96,0.9722,0.9800,0.0806,0.8490,0.4682,novel_scene_content
frame_000023,640,25.600,25.00,11905.26,0.9678,0.9912,0.0006,0.9695,0.4067,periodic_coverage_keepalive
frame_000024,685,27.400,25.00,2802.83,0.6932,0.4841,1.0000,0.3676,0.7891,significant_motion_and_scene_change
frame_000025,690,27.600,25.00,2535.59,0.8087,0.7526,1.0000,0.7718,0.6860,significant_motion_and_scene_change
frame_000026,700,28.000,25.00,1403.10,0.8190,0.8104,1.0000,0.4286,0.8129,significant_motion_and_scene_change
frame_000027,710,28.400,25.00,2613.72,0.9836,0.9600,1.0000,0.6654,0.7615,significant_motion_and_scene_change
frame_000028,720,28.800,25.00,3689.96,0.8912,0.9828,0.8480,0.8716,0.6443,significant_motion_and_scene_change
frame_000029,735,29.400,25.00,3801.35,0.8616,0.9557,0.4213,0.8979,0.5228,significant_motion_and_scene_change
frame_000030,740,29.600,25.00,3648.11,0.9178,0.9627,0.7292,0.8809,0.6120,significant_motion_and_scene_change
frame_000031,750,30.000,25.00,4097.98,0.9168,0.9333,0.1490,0.8599,0.4713,novel_scene_content
frame_000032,775,31.000,25.00,3947.45,0.9065,0.8610,0.1478,0.8829,0.4547,novel_scene_content
frame_000033,805,32.200,25.00,3808.12,0.9400,0.8492,0.1810,0.8933,0.4615,novel_scene_content
frame_000034,815,32.600,25.00,6249.58,0.7357,0.8547,1.0000,0.3544,0.8350,significant_motion_and_scene_change
frame_000035,865,34.600,25.00,5355.88,0.7398,0.8418,0.0517,0.9705,0.3814,periodic_coverage_keepalive
frame_000036,915,36.600,25.00,5545.68,0.7466,0.8418,0.0484,0.9641,0.3835,periodic_coverage_keepalive
frame_000037,965,38.600,25.00,5537.34,0.7784,0.8486,0.0583,0.9338,0.4004,periodic_coverage_keepalive
frame_000038,990,39.600,25.00,5712.41,0.8119,0.8523,0.0892,0.8230,0.4507,novel_scene_content
frame_000039,1040,41.600,25.00,6111.92,0.8325,0.8559,0.0758,0.9415,0.4083,periodic_coverage_keepalive
frame_000040,1090,43.600,25.00,6436.17,0.8541,0.8621,0.0722,0.9546,0.4056,periodic_coverage_keepalive
frame_000041,1140,45.600,25.00,5627.91,0.8787,0.8682,0.1130,0.9509,0.4201,periodic_coverage_keepalive
frame_000042,1190,47.600,25.00,6723.11,0.8765,0.8723,0.1180,0.9100,0.4359,periodic_coverage_keepalive
