frame_id,original_frame_number,timestamp_seconds,fps,sharpness_score,brightness_score,contrast_score,motion_score,similarity_score,selection_score,reason_for_selection
frame_000001,0,0.000,25.00,5798.45,0.9497,0.8493,1.0000,0.0000,0.9799,initial_video_anchor
frame_000002,10,0.400,25.00,6032.47,0.9875,0.8370,0.7195,0.8633,0.6102,significant_motion_and_scene_change
frame_000003,35,1.400,25.00,5433.69,0.9199,0.8410,0.7214,0.8571,0.6065,significant_motion_and_scene_change
frame_000004,55,2.200,25.00,4841.45,0.9333,0.7886,1.0000,0.8415,0.6777,significant_motion_and_scene_change
frame_000005,65,2.600,25.00,4811.39,0.9751,0.7894,0.6342,0.8402,0.5909,significant_motion_and_scene_change
frame_000006,75,3.000,25.00,12806.72,0.7067,0.5773,1.0000,0.3105,0.8197,significant_motion_and_scene_change
frame_000007,95,3.800,25.00,20299.88,0.7782,0.7849,0.0522,0.8634,0.4172,novel_scene_content
frame_000008,145,5.800,25.00,18768.17,0.7785,0.7796,0.0210,0.9920,0.3639,periodic_coverage_keepalive
frame_000009,175,7.000,25.00,15615.81,0.7308,0.9186,1.0000,0.5768,0.7631,significant_motion_and_scene_change
frame_000010,225,9.000,25.00,15852.33,0.7300,0.9193,0.0002,0.9957,0.3665,periodic_coverage_keepalive
frame_000011,255,10.200,25.00,8311.15,0.6474,0.7475,0.2633,0.8772,0.4483,significant_motion_and_scene_change
frame_000012,265,10.600,25.00,9025.81,0.8308,0.7374,1.0000,0.4356,0.8044,significant_motion_and_scene_change
frame_000013,315,12.600,25.00,10306.07,0.8438,0.7948,0.0005,0.9783,0.3716,periodic_coverage_keepalive
frame_000014,345,13.800,25.00,9288.29,0.8145,0.7879,1.0000,0.6615,0.7287,significant_motion_and_scene_change
frame_000015,395,15.800,25.00,9516.18,0.8146,0.7904,0.0034,0.9953,0.3630,periodic_coverage_keepalive
frame_000016,420,16.800,25.00,4769.69,0.9882,0.9185,1.0000,0.5610,0.7943,significant_motion_and_scene_change
frame_000017,470,18.800,25.00,6519.81,0.9945,0.9167,0.0001,0.9951,0.3929,periodic_coverage_keepalive
frame_000018,505,20.200,25.00,7973.67,0.9036,1.0000,1.0000,0.3733,0.8597,significant_motion_and_scene_change
